Date,GDP,EXP
10/1/2023,558760.9,6276.5
4/1/2023,564406.4,5679.1
7/1/2023,558676.3,5073.6
1/1/2024,554727.9,4006.1
1/1/2021,541081.4,2031.3
1/1/2019,554213.2,1620.2
7/1/2021,542014.6,1552.3
10/1/2021,548619.1,918.7
4/1/2019,556550.6,762.6
10/1/2020,539475.8,476.5
4/1/2021,543758.9,198.3
4/1/2022,551948.1,118.7
10/1/2019,541736.9,-603
1/1/2022,545558.4,-640
7/1/2019,557558.9,-801.5
1/1/2020,544427.3,-856
10/1/2022,552903,-1260.5
7/1/2020,530176.9,-1900.6
1/1/2023,559270.9,-2300.9
7/1/2022,550893,-3152.5
4/1/2020,502708.7,-17350.3
